Config,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
Epoch:200-Neuron:200-Layers:1,0.715663679599762,79.070465,0.5014676570901236,80.60738372802734
Epoch:200-Neuron:260-Layers:1,0.7447444538772106,79.33081,0.5038208079245541,80.45382232666016
Epoch:200-Neuron:240-Layers:1,0.7091586682200433,79.364365,0.5039352383015965,80.57308044433594
Epoch:200-Neuron:280-Layers:1,0.820611553221941,78.76331,0.5056058646822672,80.57307891845703
Epoch:200-Neuron:220-Layers:1,0.7291224822700023,79.17707,0.5061680975989226,80.48813018798828
Epoch:200-Neuron:300-Layers:1,0.8148309081494809,78.967636,0.5081804385478584,80.55837554931641
Epoch:200-Neuron:200-Layers:2,0.7886178492009639,67.534454,0.6772233197564251,73.13534851074219
Epoch:200-Neuron:280-Layers:2,0.8653703907132149,65.76358,0.6905258679065358,67.25017471313477
Epoch:200-Neuron:220-Layers:2,0.8160837900936603,67.042755,0.6968764521517962,66.69086685180665
Epoch:200-Neuron:260-Layers:2,0.9208078998923301,65.93334,0.696983017719309,69.31928939819336
Epoch:200-Neuron:300-Layers:2,0.8614706675708295,66.87645,0.6992670280216844,69.84695053100586
Epoch:200-Neuron:240-Layers:2,1.0681422114372252,48.901863,0.9029667614073592,53.85032196044922
Epoch:200-Neuron:260-Layers:3,1.086886801183224,45.156685,0.905768865048663,46.8950611114502
Epoch:200-Neuron:300-Layers:3,1.2165948288440704,32.209602,1.098533456650229,38.80148696899414
Epoch:200-Neuron:200-Layers:3,1.1393918615579604,30.534952,1.0986069840913144,30.517570114135744
Epoch:200-Neuron:220-Layers:3,1.1519363275766372,32.902843,1.098615758571368,30.515715026855467
Epoch:200-Neuron:240-Layers:3,1.1590986164808272,35.01264,1.0986180400957384,36.09604721069336
Epoch:200-Neuron:280-Layers:3,1.2018868268728258,34.360344,1.0986243890170795,38.803121185302736
