index,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
Seed:17-Epoch:250-Neuron:180-LearningRate:0.05,0.4190121660351753,85.34314,0.76762026109695,77.58355102539062
Seed:17-Epoch:250-Neuron:240-LearningRate:0.1,0.5283467377185821,83.07235,0.695149781430352,77.62766189575196
Seed:17-Epoch:250-Neuron:200-LearningRate:0.1,0.531351722073555,82.579185,0.6846603000157779,77.63749160766602
Seed:17-Epoch:250-Neuron:260-LearningRate:0.1,0.5340087619423866,82.8888,0.6862002357669359,77.67505340576172
Seed:17-Epoch:250-Neuron:180-LearningRate:0.1,0.501829257118702,83.25587,0.6881086333020775,77.73221054077149
Seed:17-Epoch:100-Neuron:260-LearningRate:0.1,0.8587297751009466,75.3004,0.5967627074809739,77.98052444458008
Seed:17-Epoch:250-Neuron:220-LearningRate:0.1,0.5418188037753107,82.41311,0.6587274673947152,78.00015029907226
Seed:17-Epoch:200-Neuron:260-LearningRate:0.1,0.6030654420554639,81.311714,0.6456056600627875,78.10143356323242
Seed:17-Epoch:200-Neuron:240-LearningRate:0.1,0.6123322230428457,80.701706,0.6259235893519065,78.13895874023437
Seed:17-Epoch:200-Neuron:220-LearningRate:0.1,0.5749723900854586,81.44338,0.639318365506563,78.23698806762695
Seed:17-Epoch:250-Neuron:200-LearningRate:0.05,0.4496719742417336,84.345474,0.7033709535127486,78.33500747680664
Seed:17-Epoch:200-Neuron:200-LearningRate:0.1,0.5621139437258245,81.684875,0.6426817913022304,78.34482879638672
Seed:17-Epoch:150-Neuron:220-LearningRate:0.1,0.6517377307216325,79.62641,0.5949997443889471,78.38734664916993
Seed:17-Epoch:250-Neuron:260-LearningRate:0.05,0.47668754522800444,83.72211,0.6672527790187133,78.388916015625
Seed:17-Epoch:100-Neuron:220-LearningRate:0.1,0.7419018287956713,76.03829,0.5859090967000868,78.3971046447754
Seed:17-Epoch:150-Neuron:260-LearningRate:0.1,0.7007927198410033,77.72246,0.598454665968444,78.5163673400879
Seed:17-Epoch:100-Neuron:240-LearningRate:0.1,0.799246503651142,75.89252,0.5872144821365359,78.55233230590821
Seed:17-Epoch:200-Neuron:180-LearningRate:0.1,0.537387651965022,81.97713,0.6253823892790792,78.55720672607421
Seed:17-Epoch:200-Neuron:180-LearningRate:0.05,0.4796839004382491,83.19968,0.6542866902976879,78.56376876831055
Seed:17-Epoch:250-Neuron:220-LearningRate:0.05,0.46346987122893335,83.91461,0.6769491566977149,78.60459365844727
Seed:17-Epoch:100-Neuron:180-LearningRate:0.1,0.7147597478628158,76.63823,0.5743486474280378,78.65360488891602
Seed:17-Epoch:150-Neuron:240-LearningRate:0.1,0.6800116256674131,79.052895,0.5991869510481196,78.71071548461914
Seed:17-Epoch:200-Neuron:200-LearningRate:0.05,0.4866934589073062,83.051636,0.638044575134318,78.7271110534668
Seed:17-Epoch:150-Neuron:180-LearningRate:0.1,0.622505431552728,79.3502,0.5968898644660262,78.7319938659668
Seed:17-Epoch:200-Neuron:240-LearningRate:0.05,0.5225399480760098,81.91911,0.6032710692218924,78.76301651000976
Seed:17-Epoch:200-Neuron:220-LearningRate:0.05,0.4839085616841913,83.10701,0.6473498997693384,78.76630554199218
Seed:17-Epoch:150-Neuron:200-LearningRate:0.1,0.6445554624795913,79.18049,0.5881649081165544,78.81369247436524
Seed:17-Epoch:250-Neuron:240-LearningRate:0.05,0.4727891684412957,83.85756,0.6628479451161451,78.86102523803712
Seed:17-Epoch:100-Neuron:200-LearningRate:0.1,0.7361240352392197,76.15412,0.5768795684070493,78.91168441772462
Seed:17-Epoch:200-Neuron:260-LearningRate:0.05,0.5227703005969524,81.88594,0.6090409693681984,79.08647766113282
Seed:17-Epoch:150-Neuron:240-LearningRate:0.05,0.5544029052853585,80.61216,0.5728683735224791,79.25310745239258
Seed:17-Epoch:150-Neuron:180-LearningRate:0.05,0.541349958519141,80.75712,0.5729454947859965,79.4818359375
Seed:17-Epoch:150-Neuron:200-LearningRate:0.05,0.5544002621173859,80.45295,0.5672392110783986,79.50957412719727
Seed:17-Epoch:150-Neuron:220-LearningRate:0.05,0.5468689196109773,80.94834,0.5688301465963745,79.57494812011718
Seed:17-Epoch:100-Neuron:260-LearningRate:0.05,0.6708203034102916,76.90688,0.5336344318258013,79.8738784790039
Seed:17-Epoch:150-Neuron:260-LearningRate:0.05,0.5862380543549855,79.761925,0.556502892276655,79.87554397583008
Seed:17-Epoch:100-Neuron:200-LearningRate:0.05,0.6229451773166657,78.20839,0.5354452818279298,80.03887786865235
Seed:17-Epoch:100-Neuron:180-LearningRate:0.05,0.6090383707284929,78.31195,0.5339208680607485,80.04377746582031
Seed:17-Epoch:100-Neuron:220-LearningRate:0.05,0.6311310591697693,77.81182,0.5300181366086214,80.11401062011718
Seed:17-Epoch:100-Neuron:240-LearningRate:0.05,0.6316908405423166,78.22061,0.5339096645806902,80.1385498046875
